agency_cd	site_no	parameter_cd	dd_nu	year_nu	month_nu	mean_va
USGS	14064500	00060	5	1973	11	743.1
USGS	14064500	00060	5	1973	12	743.9
USGS	14064500	00060	5	1974	1	877.1
USGS	14064500	00060	5	1974	2	798.1
USGS	14064500	00060	5	1974	3	847.5
USGS	14064500	00060	5	1974	4	1406
USGS	14064500	00060	5	1974	5	2065
USGS	14064500	00060	5	1974	6	2591
USGS	14064500	00060	5	1974	7	2421
USGS	14064500	00060	5	1974	8	2255
USGS	14064500	00060	5	1974	9	2195
USGS	14064500	00060	5	1974	10	1338
USGS	14064500	00060	5	1974	11	928.1
USGS	14064500	00060	5	1974	12	1083
USGS	14064500	00060	5	1975	1	1540
USGS	14064500	00060	5	1975	2	1571
USGS	14064500	00060	5	1975	3	1479
USGS	14064500	00060	5	1975	4	1473
USGS	14064500	00060	5	1975	5	2139
USGS	14064500	00060	5	1975	6	2535
USGS	14064500	00060	5	1975	7	2569
USGS	14064500	00060	5	1975	8	2239
USGS	14064500	00060	5	1975	9	1942
USGS	14064500	00060	5	1975	10	1301
USGS	14064500	00060	5	1975	11	972.6
USGS	14064500	00060	5	1975	12	1248
USGS	14064500	00060	5	1976	1	1436
USGS	14064500	00060	5	1976	2	1436
USGS	14064500	00060	5	1976	3	1352
USGS	14064500	00060	5	1976	4	1467
USGS	14064500	00060	5	1976	5	2301
USGS	14064500	00060	5	1976	6	2467
USGS	14064500	00060	5	1976	7	2569
USGS	14064500	00060	5	1976	8	2040
USGS	14064500	00060	5	1976	9	1936
USGS	14064500	00060	5	1976	10	1367
USGS	14064500	00060	5	1976	11	948.7
USGS	14064500	00060	5	1976	12	1058
USGS	14064500	00060	5	1977	1	944.5
USGS	14064500	00060	5	1977	2	705.9
USGS	14064500	00060	5	1977	3	796.0
USGS	14064500	00060	5	1977	4	1480
USGS	14064500	00060	5	1977	5	1602
USGS	14064500	00060	5	1977	6	2097
USGS	14064500	00060	5	1977	7	2144
USGS	14064500	00060	5	1977	8	1910
USGS	14064500	00060	5	1977	9	1579
USGS	14064500	00060	5	1977	10	645.9
USGS	14064500	00060	5	1977	11	607.9
USGS	14064500	00060	5	1977	12	931.0
USGS	14064500	00060	5	1978	1	695.5
USGS	14064500	00060	5	1978	2	666.7
USGS	14064500	00060	5	1978	3	698.7
USGS	14064500	00060	5	1978	4	1034
USGS	14064500	00060	5	1978	5	1571
USGS	14064500	00060	5	1978	6	2044
USGS	14064500	00060	5	1978	7	2066
USGS	14064500	00060	5	1978	8	1956
USGS	14064500	00060	5	1978	9	1599
USGS	14064500	00060	5	1978	10	879.9
